location_name,location_id,sensor_id,utc_timestamp,local_timestamp,pm25_value,parameter,unit
Valenzuela,5975180,14258421,2025-10-01T08:00:00Z,2025-10-01T16:00:00+08:00,2.5,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-01T09:00:00Z,2025-10-01T17:00:00+08:00,10.6,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-02T03:00:00Z,2025-10-02T11:00:00+08:00,17.5,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T00:00:00Z,2025-10-03T08:00:00+08:00,0.238,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T01:00:00Z,2025-10-03T09:00:00+08:00,3.4,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T02:00:00Z,2025-10-03T10:00:00+08:00,2.71,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T03:00:00Z,2025-10-03T11:00:00+08:00,4.09,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T04:00:00Z,2025-10-03T12:00:00+08:00,0.9,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T05:00:00Z,2025-10-03T13:00:00+08:00,19.1,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T06:00:00Z,2025-10-03T14:00:00+08:00,2.19,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T07:00:00Z,2025-10-03T15:00:00+08:00,0.0139,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T08:00:00Z,2025-10-03T16:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T09:00:00Z,2025-10-03T17:00:00+08:00,13.8,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T10:00:00Z,2025-10-03T18:00:00+08:00,24.1,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T11:00:00Z,2025-10-03T19:00:00+08:00,25.3,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T12:00:00Z,2025-10-03T20:00:00+08:00,2.57,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T13:00:00Z,2025-10-03T21:00:00+08:00,1.28,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T14:00:00Z,2025-10-03T22:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T15:00:00Z,2025-10-03T23:00:00+08:00,0.0785,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T16:00:00Z,2025-10-04T00:00:00+08:00,0.00283,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T17:00:00Z,2025-10-04T01:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T18:00:00Z,2025-10-04T02:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T19:00:00Z,2025-10-04T03:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T20:00:00Z,2025-10-04T04:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T21:00:00Z,2025-10-04T05:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T22:00:00Z,2025-10-04T06:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-03T23:00:00Z,2025-10-04T07:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T00:00:00Z,2025-10-04T08:00:00+08:00,1.53,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T01:00:00Z,2025-10-04T09:00:00+08:00,35.4,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T02:00:00Z,2025-10-04T10:00:00+08:00,7.44,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T03:00:00Z,2025-10-04T11:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T04:00:00Z,2025-10-04T12:00:00+08:00,1.82,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T05:00:00Z,2025-10-04T13:00:00+08:00,5.04,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T06:00:00Z,2025-10-04T14:00:00+08:00,6.76,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T08:00:00Z,2025-10-04T16:00:00+08:00,0.147,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T09:00:00Z,2025-10-04T17:00:00+08:00,1.01,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T10:00:00Z,2025-10-04T18:00:00+08:00,13.3,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T11:00:00Z,2025-10-04T19:00:00+08:00,30.6,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T12:00:00Z,2025-10-04T20:00:00+08:00,2.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T22:00:00Z,2025-10-05T06:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-04T23:00:00Z,2025-10-05T07:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T00:00:00Z,2025-10-05T08:00:00+08:00,0.43,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T01:00:00Z,2025-10-05T09:00:00+08:00,51.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T02:00:00Z,2025-10-05T10:00:00+08:00,52.3,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T03:00:00Z,2025-10-05T11:00:00+08:00,3.45,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T04:00:00Z,2025-10-05T12:00:00+08:00,1.85,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T05:00:00Z,2025-10-05T13:00:00+08:00,33.5,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T06:00:00Z,2025-10-05T14:00:00+08:00,19.7,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T07:00:00Z,2025-10-05T15:00:00+08:00,4.72,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T08:00:00Z,2025-10-05T16:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T09:00:00Z,2025-10-05T17:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T10:00:00Z,2025-10-05T18:00:00+08:00,13.6,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T11:00:00Z,2025-10-05T19:00:00+08:00,7.82,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T12:00:00Z,2025-10-05T20:00:00+08:00,0.225,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T22:00:00Z,2025-10-06T06:00:00+08:00,0.396,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-05T23:00:00Z,2025-10-06T07:00:00+08:00,0.693,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T00:00:00Z,2025-10-06T08:00:00+08:00,0.00833,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T01:00:00Z,2025-10-06T09:00:00+08:00,26.9,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T02:00:00Z,2025-10-06T10:00:00+08:00,26.9,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T03:00:00Z,2025-10-06T11:00:00+08:00,0.11,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T04:00:00Z,2025-10-06T12:00:00+08:00,0.953,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T05:00:00Z,2025-10-06T13:00:00+08:00,20.4,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T06:00:00Z,2025-10-06T14:00:00+08:00,22.3,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T07:00:00Z,2025-10-06T15:00:00+08:00,0.483,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T08:00:00Z,2025-10-06T16:00:00+08:00,0.0473,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T09:00:00Z,2025-10-06T17:00:00+08:00,13.4,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T10:00:00Z,2025-10-06T18:00:00+08:00,16.7,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T11:00:00Z,2025-10-06T19:00:00+08:00,35.9,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T12:00:00Z,2025-10-06T20:00:00+08:00,26.5,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T13:00:00Z,2025-10-06T21:00:00+08:00,26.1,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-06T23:00:00Z,2025-10-07T07:00:00+08:00,12.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T00:00:00Z,2025-10-07T08:00:00+08:00,1.2,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T01:00:00Z,2025-10-07T09:00:00+08:00,43.1,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T02:00:00Z,2025-10-07T10:00:00+08:00,23.4,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T03:00:00Z,2025-10-07T11:00:00+08:00,0.0353,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T04:00:00Z,2025-10-07T12:00:00+08:00,2.44,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T05:00:00Z,2025-10-07T13:00:00+08:00,46.2,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T06:00:00Z,2025-10-07T14:00:00+08:00,29.4,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T07:00:00Z,2025-10-07T15:00:00+08:00,0.66,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T08:00:00Z,2025-10-07T16:00:00+08:00,3.11,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T09:00:00Z,2025-10-07T17:00:00+08:00,10.9,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T10:00:00Z,2025-10-07T18:00:00+08:00,31.7,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T11:00:00Z,2025-10-07T19:00:00+08:00,37.5,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T12:00:00Z,2025-10-07T20:00:00+08:00,28.1,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T13:00:00Z,2025-10-07T21:00:00+08:00,24.8,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-07T23:00:00Z,2025-10-08T07:00:00+08:00,20.9,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-08T00:00:00Z,2025-10-08T08:00:00+08:00,0.0,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-08T01:00:00Z,2025-10-08T09:00:00+08:00,28.3,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-08T02:00:00Z,2025-10-08T10:00:00+08:00,30.6,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-08T03:00:00Z,2025-10-08T11:00:00+08:00,0.858,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-08T04:00:00Z,2025-10-08T12:00:00+08:00,1.54,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-08T05:00:00Z,2025-10-08T13:00:00+08:00,34.3,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-08T06:00:00Z,2025-10-08T14:00:00+08:00,38.2,PM2.5,µg/m³
Valenzuela,5975180,14258421,2025-10-08T07:00:00Z,2025-10-08T15:00:00+08:00,0.903,PM2.5,µg/m³
