location_name,location_id,sensor_id,utc_timestamp,local_timestamp,pm25_value,parameter,unit
Near Puregold Tayuman,6303935,15922109,2026-04-11T09:00:00Z,2026-04-11T17:00:00+08:00,54.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-11T10:00:00Z,2026-04-11T18:00:00+08:00,49.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-11T11:00:00Z,2026-04-11T19:00:00+08:00,50.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-11T15:00:00Z,2026-04-11T23:00:00+08:00,16.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-11T16:00:00Z,2026-04-12T00:00:00+08:00,17.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-11T17:00:00Z,2026-04-12T01:00:00+08:00,20.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-11T19:00:00Z,2026-04-12T03:00:00+08:00,13.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-11T20:00:00Z,2026-04-12T04:00:00+08:00,13.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-11T21:00:00Z,2026-04-12T05:00:00+08:00,13.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T02:00:00Z,2026-04-12T10:00:00+08:00,32.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T03:00:00Z,2026-04-12T11:00:00+08:00,33.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T05:00:00Z,2026-04-12T13:00:00+08:00,47.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T06:00:00Z,2026-04-12T14:00:00+08:00,44.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T07:00:00Z,2026-04-12T15:00:00+08:00,41.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T08:00:00Z,2026-04-12T16:00:00+08:00,39.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T11:00:00Z,2026-04-12T19:00:00+08:00,22.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T12:00:00Z,2026-04-12T20:00:00+08:00,21.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T17:00:00Z,2026-04-13T01:00:00+08:00,16.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T18:00:00Z,2026-04-13T02:00:00+08:00,16.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T19:00:00Z,2026-04-13T03:00:00+08:00,15.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T20:00:00Z,2026-04-13T04:00:00+08:00,11.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T21:00:00Z,2026-04-13T05:00:00+08:00,12.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-12T22:00:00Z,2026-04-13T06:00:00+08:00,15.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T00:00:00Z,2026-04-13T08:00:00+08:00,24.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T01:00:00Z,2026-04-13T09:00:00+08:00,27.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T02:00:00Z,2026-04-13T10:00:00+08:00,33.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T03:00:00Z,2026-04-13T11:00:00+08:00,31.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T04:00:00Z,2026-04-13T12:00:00+08:00,27.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T14:00:00Z,2026-04-13T22:00:00+08:00,16.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T15:00:00Z,2026-04-13T23:00:00+08:00,13.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T16:00:00Z,2026-04-14T00:00:00+08:00,14.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T21:00:00Z,2026-04-14T05:00:00+08:00,23.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-13T22:00:00Z,2026-04-14T06:00:00+08:00,16.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T03:00:00Z,2026-04-14T11:00:00+08:00,25.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T04:00:00Z,2026-04-14T12:00:00+08:00,30.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T08:00:00Z,2026-04-14T16:00:00+08:00,21.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T09:00:00Z,2026-04-14T17:00:00+08:00,22.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T11:00:00Z,2026-04-14T19:00:00+08:00,20.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T12:00:00Z,2026-04-14T20:00:00+08:00,23.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T13:00:00Z,2026-04-14T21:00:00+08:00,24.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T14:00:00Z,2026-04-14T22:00:00+08:00,23.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T15:00:00Z,2026-04-14T23:00:00+08:00,21.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T16:00:00Z,2026-04-15T00:00:00+08:00,19.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T17:00:00Z,2026-04-15T01:00:00+08:00,18.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T20:00:00Z,2026-04-15T04:00:00+08:00,17.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T21:00:00Z,2026-04-15T05:00:00+08:00,18.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-14T22:00:00Z,2026-04-15T06:00:00+08:00,23.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T05:00:00Z,2026-04-15T13:00:00+08:00,19.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T06:00:00Z,2026-04-15T14:00:00+08:00,15.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T09:00:00Z,2026-04-15T17:00:00+08:00,19.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T10:00:00Z,2026-04-15T18:00:00+08:00,23.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T11:00:00Z,2026-04-15T19:00:00+08:00,28.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T12:00:00Z,2026-04-15T20:00:00+08:00,23.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T13:00:00Z,2026-04-15T21:00:00+08:00,24.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T14:00:00Z,2026-04-15T22:00:00+08:00,22.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T15:00:00Z,2026-04-15T23:00:00+08:00,13.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T16:00:00Z,2026-04-16T00:00:00+08:00,16.8,PM2.5,µg/m³
