location_name,location_id,sensor_id,utc_timestamp,local_timestamp,pm25_value,parameter,unit
Rajah Sulayman Park,6338564,16181084,2026-05-07T08:00:00Z,2026-05-07T16:00:00+08:00,9.66,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T09:00:00Z,2026-05-07T17:00:00+08:00,7.0,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T13:00:00Z,2026-05-07T21:00:00+08:00,11.9,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T14:00:00Z,2026-05-07T22:00:00+08:00,7.73,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T15:00:00Z,2026-05-07T23:00:00+08:00,7.46,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T16:00:00Z,2026-05-08T00:00:00+08:00,5.59,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T17:00:00Z,2026-05-08T01:00:00+08:00,4.63,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T18:00:00Z,2026-05-08T02:00:00+08:00,4.15,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T19:00:00Z,2026-05-08T03:00:00+08:00,6.16,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T20:00:00Z,2026-05-08T04:00:00+08:00,11.2,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-07T21:00:00Z,2026-05-08T05:00:00+08:00,10.5,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T06:00:00Z,2026-05-08T14:00:00+08:00,11.8,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T07:00:00Z,2026-05-08T15:00:00+08:00,7.78,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T08:00:00Z,2026-05-08T16:00:00+08:00,7.43,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T09:00:00Z,2026-05-08T17:00:00+08:00,7.84,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T10:00:00Z,2026-05-08T18:00:00+08:00,7.11,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T11:00:00Z,2026-05-08T19:00:00+08:00,9.7,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T12:00:00Z,2026-05-08T20:00:00+08:00,11.6,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T14:00:00Z,2026-05-08T22:00:00+08:00,11.3,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T15:00:00Z,2026-05-08T23:00:00+08:00,7.76,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T16:00:00Z,2026-05-09T00:00:00+08:00,7.41,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T17:00:00Z,2026-05-09T01:00:00+08:00,5.73,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T22:00:00Z,2026-05-09T06:00:00+08:00,8.05,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-08T23:00:00Z,2026-05-09T07:00:00+08:00,10.5,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T01:00:00Z,2026-05-09T09:00:00+08:00,9.76,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T04:00:00Z,2026-05-09T12:00:00+08:00,16.1,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T05:00:00Z,2026-05-09T13:00:00+08:00,13.7,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T12:00:00Z,2026-05-09T20:00:00+08:00,10.1,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T13:00:00Z,2026-05-09T21:00:00+08:00,9.6,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T14:00:00Z,2026-05-09T22:00:00+08:00,8.89,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T18:00:00Z,2026-05-10T02:00:00+08:00,4.97,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T19:00:00Z,2026-05-10T03:00:00+08:00,6.48,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T20:00:00Z,2026-05-10T04:00:00+08:00,8.16,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T21:00:00Z,2026-05-10T05:00:00+08:00,5.7,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-09T22:00:00Z,2026-05-10T06:00:00+08:00,7.81,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T00:00:00Z,2026-05-10T08:00:00+08:00,8.04,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T01:00:00Z,2026-05-10T09:00:00+08:00,19.2,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T02:00:00Z,2026-05-10T10:00:00+08:00,16.5,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T03:00:00Z,2026-05-10T11:00:00+08:00,7.0,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T04:00:00Z,2026-05-10T12:00:00+08:00,6.45,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T05:00:00Z,2026-05-10T13:00:00+08:00,9.32,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T06:00:00Z,2026-05-10T14:00:00+08:00,7.73,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T07:00:00Z,2026-05-10T15:00:00+08:00,6.94,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T09:00:00Z,2026-05-10T17:00:00+08:00,5.22,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T10:00:00Z,2026-05-10T18:00:00+08:00,6.99,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T11:00:00Z,2026-05-10T19:00:00+08:00,9.21,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T12:00:00Z,2026-05-10T20:00:00+08:00,9.18,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T13:00:00Z,2026-05-10T21:00:00+08:00,8.53,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T14:00:00Z,2026-05-10T22:00:00+08:00,11.7,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T15:00:00Z,2026-05-10T23:00:00+08:00,5.96,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T16:00:00Z,2026-05-11T00:00:00+08:00,4.73,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T19:00:00Z,2026-05-11T03:00:00+08:00,4.2,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T20:00:00Z,2026-05-11T04:00:00+08:00,4.02,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T21:00:00Z,2026-05-11T05:00:00+08:00,4.49,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T22:00:00Z,2026-05-11T06:00:00+08:00,6.09,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-10T23:00:00Z,2026-05-11T07:00:00+08:00,9.14,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T00:00:00Z,2026-05-11T08:00:00+08:00,9.26,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T02:00:00Z,2026-05-11T10:00:00+08:00,11.7,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T03:00:00Z,2026-05-11T11:00:00+08:00,13.7,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T04:00:00Z,2026-05-11T12:00:00+08:00,12.9,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T06:00:00Z,2026-05-11T14:00:00+08:00,5.11,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T07:00:00Z,2026-05-11T15:00:00+08:00,6.11,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T08:00:00Z,2026-05-11T16:00:00+08:00,6.11,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T09:00:00Z,2026-05-11T17:00:00+08:00,6.54,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T10:00:00Z,2026-05-11T18:00:00+08:00,6.96,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T11:00:00Z,2026-05-11T19:00:00+08:00,6.43,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T12:00:00Z,2026-05-11T20:00:00+08:00,7.83,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T13:00:00Z,2026-05-11T21:00:00+08:00,8.83,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T14:00:00Z,2026-05-11T22:00:00+08:00,7.62,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T15:00:00Z,2026-05-11T23:00:00+08:00,6.43,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T16:00:00Z,2026-05-12T00:00:00+08:00,8.98,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T17:00:00Z,2026-05-12T01:00:00+08:00,7.92,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T18:00:00Z,2026-05-12T02:00:00+08:00,7.29,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T19:00:00Z,2026-05-12T03:00:00+08:00,7.43,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T20:00:00Z,2026-05-12T04:00:00+08:00,8.03,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T21:00:00Z,2026-05-12T05:00:00+08:00,8.43,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T22:00:00Z,2026-05-12T06:00:00+08:00,8.34,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-11T23:00:00Z,2026-05-12T07:00:00+08:00,11.1,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T00:00:00Z,2026-05-12T08:00:00+08:00,13.9,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T01:00:00Z,2026-05-12T09:00:00+08:00,16.7,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T02:00:00Z,2026-05-12T10:00:00+08:00,19.6,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T03:00:00Z,2026-05-12T11:00:00+08:00,20.2,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T04:00:00Z,2026-05-12T12:00:00+08:00,17.3,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T05:00:00Z,2026-05-12T13:00:00+08:00,13.8,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T06:00:00Z,2026-05-12T14:00:00+08:00,15.0,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T07:00:00Z,2026-05-12T15:00:00+08:00,18.4,PM2.5,µg/m³
Rajah Sulayman Park,6338564,16181084,2026-05-12T08:00:00Z,2026-05-12T16:00:00+08:00,27.0,PM2.5,µg/m³
