location_name,location_id,sensor_id,utc_timestamp,local_timestamp,pm25_value,parameter,unit
Tivoli,6340868,16198443,2026-05-08T23:00:00Z,2026-05-09T07:00:00+08:00,33.9,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T00:00:00Z,2026-05-09T08:00:00+08:00,32.0,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T01:00:00Z,2026-05-09T09:00:00+08:00,7.4,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T02:00:00Z,2026-05-09T10:00:00+08:00,3.5,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T03:00:00Z,2026-05-09T11:00:00+08:00,0.4,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T04:00:00Z,2026-05-09T12:00:00+08:00,1.8,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T05:00:00Z,2026-05-09T13:00:00+08:00,2.8,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T06:00:00Z,2026-05-09T14:00:00+08:00,2.5,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T07:00:00Z,2026-05-09T15:00:00+08:00,1.9,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T08:00:00Z,2026-05-09T16:00:00+08:00,3.5,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T09:00:00Z,2026-05-09T17:00:00+08:00,1.9,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T10:00:00Z,2026-05-09T18:00:00+08:00,18.9,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T11:00:00Z,2026-05-09T19:00:00+08:00,188.0,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T12:00:00Z,2026-05-09T20:00:00+08:00,20.5,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T13:00:00Z,2026-05-09T21:00:00+08:00,5.2,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T14:00:00Z,2026-05-09T22:00:00+08:00,7.5,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T15:00:00Z,2026-05-09T23:00:00+08:00,2.7,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T16:00:00Z,2026-05-10T00:00:00+08:00,1.6,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T17:00:00Z,2026-05-10T01:00:00+08:00,4.3,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T18:00:00Z,2026-05-10T02:00:00+08:00,12.3,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T19:00:00Z,2026-05-10T03:00:00+08:00,5.3,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T20:00:00Z,2026-05-10T04:00:00+08:00,23.5,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T21:00:00Z,2026-05-10T05:00:00+08:00,20.2,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T22:00:00Z,2026-05-10T06:00:00+08:00,29.4,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-09T23:00:00Z,2026-05-10T07:00:00+08:00,38.5,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T00:00:00Z,2026-05-10T08:00:00+08:00,30.7,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T01:00:00Z,2026-05-10T09:00:00+08:00,16.2,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T02:00:00Z,2026-05-10T10:00:00+08:00,4.5,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T03:00:00Z,2026-05-10T11:00:00+08:00,3.4,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T04:00:00Z,2026-05-10T12:00:00+08:00,6.2,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T05:00:00Z,2026-05-10T13:00:00+08:00,13.4,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T06:00:00Z,2026-05-10T14:00:00+08:00,7.7,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T07:00:00Z,2026-05-10T15:00:00+08:00,8.1,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T08:00:00Z,2026-05-10T16:00:00+08:00,9.2,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T09:00:00Z,2026-05-10T17:00:00+08:00,4.6,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T10:00:00Z,2026-05-10T18:00:00+08:00,2.2,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T11:00:00Z,2026-05-10T19:00:00+08:00,2.7,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T12:00:00Z,2026-05-10T20:00:00+08:00,7.9,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T13:00:00Z,2026-05-10T21:00:00+08:00,5.2,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T14:00:00Z,2026-05-10T22:00:00+08:00,4.0,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T15:00:00Z,2026-05-10T23:00:00+08:00,0.9,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T16:00:00Z,2026-05-11T00:00:00+08:00,8.4,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T17:00:00Z,2026-05-11T01:00:00+08:00,18.3,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T18:00:00Z,2026-05-11T02:00:00+08:00,11.8,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T19:00:00Z,2026-05-11T03:00:00+08:00,19.9,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T20:00:00Z,2026-05-11T04:00:00+08:00,28.7,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T21:00:00Z,2026-05-11T05:00:00+08:00,20.2,PM2.5,µg/m³
Tivoli,6340868,16198443,2026-05-10T22:00:00Z,2026-05-11T06:00:00+08:00,23.6,PM2.5,µg/m³
